Re,AoA,CL,CD,CDp,CM,elapsed_s,status
227584.59260747864,0.0,,,,,0.031347036361694336,fail
227584.59260747864,0.5,,,,,0.028482675552368164,fail
227584.59260747864,1.0,,,,,0.02306199073791504,fail
227584.59260747864,1.5,,,,,0.031970977783203125,fail
227584.59260747864,2.0,,,,,0.030627965927124023,fail
227584.59260747864,2.5,,,,,0.025719165802001953,fail
227584.59260747864,3.0,,,,,0.021891117095947266,fail
227584.59260747864,3.5,,,,,0.03692889213562012,fail
227584.59260747864,4.0,,,,,0.06873297691345215,fail
227584.59260747864,4.5,,,,,0.0793919563293457,fail
227584.59260747864,5.0,,,,,0.03177380561828613,fail
227584.59260747864,5.5,,,,,0.08316278457641602,fail
227584.59260747864,6.0,,,,,0.0971519947052002,fail
227584.59260747864,6.5,,,,,0.03272700309753418,fail
227584.59260747864,7.0,,,,,0.030247211456298828,fail
227584.59260747864,7.5,,,,,0.06579709053039551,fail
227584.59260747864,8.0,,,,,0.027853727340698242,fail
227584.59260747864,8.5,,,,,0.02402186393737793,fail
227584.59260747864,9.0,,,,,0.026952028274536133,fail
227584.59260747864,9.5,,,,,0.032035112380981445,fail
227584.59260747864,10.0,,,,,0.10896635055541992,fail
227584.59260747864,10.5,,,,,0.0684819221496582,fail
227584.59260747864,11.0,,,,,0.06975102424621582,fail
227584.59260747864,11.5,,,,,0.0662539005279541,fail
372759.3720314938,-1.0,,,,,0.03335714340209961,fail
372759.3720314938,-0.5,,,,,0.07465386390686035,fail
372759.3720314938,0.0,,,,,0.08359289169311523,fail
372759.3720314938,0.5,,,,,0.035160064697265625,fail
372759.3720314938,1.0,,,,,0.029963970184326172,fail
372759.3720314938,1.5,,,,,0.018158912658691406,fail
372759.3720314938,2.0,,,,,0.06423187255859375,fail
372759.3720314938,2.5,,,,,0.08344912528991699,fail
372759.3720314938,3.0,,,,,0.02822089195251465,fail
372759.3720314938,3.5,,,,,0.08737587928771973,fail
372759.3720314938,4.0,,,,,0.028764009475708008,fail
372759.3720314938,4.5,,,,,0.07444477081298828,fail
372759.3720314938,5.0,,,,,0.09339594841003418,fail
372759.3720314938,5.5,,,,,0.028163671493530273,fail
372759.3720314938,6.0,,,,,0.031320810317993164,fail
372759.3720314938,6.5,,,,,0.021393775939941406,fail
372759.3720314938,7.0,,,,,0.05464577674865723,fail
372759.3720314938,7.5,,,,,0.08942794799804688,fail
372759.3720314938,8.0,,,,,0.09656310081481934,fail
372759.3720314938,8.5,,,,,0.03151106834411621,fail
372759.3720314938,9.0,,,,,0.028139829635620117,fail
372759.3720314938,9.5,,,,,0.07549214363098145,fail
372759.3720314938,10.0,,,,,0.06773114204406738,fail
372759.3720314938,10.5,,,,,0.08309292793273926,fail
372759.3720314938,11.0,,,,,0.08187603950500488,fail
372759.3720314938,11.5,,,,,0.0674448013305664,fail
610540.2296585327,-1.0,,,,,0.02817511558532715,fail
610540.2296585327,-0.5,,,,,0.07546591758728027,fail
610540.2296585327,0.0,,,,,0.028873920440673828,fail
610540.2296585327,0.5,,,,,0.023995161056518555,fail
610540.2296585327,1.0,,,,,0.046386003494262695,fail
610540.2296585327,1.5,,,,,0.016138076782226562,fail
