Re,AoA,Cl,Cd,Cm,elapsed_s,status
4999.999999999999,0,0.0872,0.05539,-0.0528,0.015794038772583008,ok
4999.999999999999,1,0.1683,0.05783,-0.0529,0.10924291610717773,ok
4999.999999999999,2,0.2446,0.06111,-0.0529,0.08281588554382324,ok
4999.999999999999,3,0.3161,0.06527,-0.0532,0.02372574806213379,ok
4999.999999999999,4,0.3824,0.07041,-0.0539,0.0973351001739502,ok
4999.999999999999,5,0.4432,0.07663,-0.055,0.03315901756286621,ok
4999.999999999999,6,0.4984,0.08406,-0.0569,0.019932270050048828,ok
4999.999999999999,7,0.5475,0.0928,-0.0595,0.018358945846557617,ok
4999.999999999999,8,0.5908,0.10289,-0.0629,0.07645392417907715,ok
4999.999999999999,9,0.6286,0.1143,-0.0672,0.09312939643859863,ok
4999.999999999999,10,0.6619,0.12691,-0.0724,0.0247652530670166,ok
4999.999999999999,11,0.6925,0.14053,-0.0785,0.034156084060668945,ok
4999.999999999999,12,0.7217,0.15498,-0.0854,0.08094000816345215,ok
4999.999999999999,13,0.7507,0.17021,-0.0931,0.025707006454467773,ok
4999.999999999999,14,0.781,0.18598,-0.1015,0.08919787406921387,ok
4999.999999999999,15,0.813,0.20216,-0.1102,0.042404890060424805,ok
4999.999999999999,16,0.8466,0.21865,-0.1192,0.0254061222076416,ok
4999.999999999999,17,0.8817,0.23541,-0.1283,0.03385496139526367,ok
9008.241153272058,0,0.1051,0.04397,-0.0567,0.01631903648376465,ok
9008.241153272058,1,0.1878,0.04674,-0.0572,0.0723581314086914,ok
9008.241153272058,2,0.2648,0.05036,-0.0577,0.027790069580078125,ok
9008.241153272058,3,0.3362,0.05492,-0.0584,0.023951053619384766,ok
9008.241153272058,4,0.4019,0.06051,-0.0597,0.015771150588989258,ok
9008.241153272058,5,0.4614,0.06727,-0.0614,0.0896759033203125,ok
9008.241153272058,6,0.5145,0.07532,-0.0638,0.08345794677734375,ok
9008.241153272058,7,0.561,0.08478,-0.0669,0.08373475074768066,ok
9008.241153272058,8,0.6014,0.09574,-0.0708,0.05124306678771973,ok
9008.241153272058,9,0.6364,0.10813,-0.0756,0.08101201057434082,ok
9008.241153272058,10,0.6674,0.12181,-0.081,0.06107020378112793,ok
9008.241153272058,11,0.6962,0.13658,-0.0873,0.08043169975280762,ok
9008.241153272058,12,0.7242,0.15222,-0.0943,0.09164285659790039,ok
9008.241153272058,13,0.7531,0.16861,-0.102,0.03024005889892578,ok
9008.241153272058,14,0.7838,0.18554,-0.1102,0.10154199600219727,ok
9008.241153272058,15,0.8165,0.2028,-0.1187,0.04600405693054199,ok
9008.241153272058,16,0.8678,0.22314,-0.1321,0.029253005981445312,ok
9008.241153272058,17,0.9375,0.24982,-0.1475,0.03720426559448242,ok
16229.681735100863,0,0.124,0.03595,-0.0612,0.014059782028198242,ok
16229.681735100863,1,0.207,0.03907,-0.062,0.01336812973022461,ok
16229.681735100863,2,0.2836,0.04306,-0.063,0.013705015182495117,ok
16229.681735100863,3,0.3543,0.04804,-0.0642,0.06836485862731934,ok
16229.681735100863,4,0.4186,0.05411,-0.0659,0.02698993682861328,ok
16229.681735100863,5,0.4763,0.06142,-0.0681,0.026015043258666992,ok
16229.681735100863,6,0.527,0.0701,-0.071,0.01558685302734375,ok
16229.681735100863,7,0.5711,0.08027,-0.0745,0.05165219306945801,ok
16229.681735100863,8,0.6091,0.09197,-0.0787,0.0334780216217041,ok
16229.681735100863,9,0.6424,0.10516,-0.0836,0.06997084617614746,ok
16229.681735100863,10,0.6724,0.11971,-0.0893,0.09086322784423828,ok
16229.681735100863,11,-0.01234,0.0314,0.0012345,0.08216714859008789,fail
16229.681735100863,12,0.8045,0.16623,-0.1187,0.0928199291229248,ok
16229.681735100863,13,0.8375,0.18045,-0.1228,0.026702880859375,ok
16229.681735100863,14,0.8847,0.20024,-0.1285,0.039235830307006836,ok
16229.681735100863,15,0.9278,0.22093,-0.1341,0.03596901893615723,ok
16229.681735100863,16,0.9549,0.2313,-0.137,0.028294801712036133,ok
16229.681735100863,17,0.9965,0.25001,-0.1424,0.03533601760864258,ok
29240.177382128637,0,0.1422,0.0305,-0.0661,0.01565408706665039,ok
29240.177382128637,1,0.2248,0.03399,-0.0674,0.08448100090026855,ok
29240.177382128637,2,0.3005,0.03839,-0.0687,0.027794361114501953,ok
29240.177382128637,3,0.3693,0.04379,-0.0703,0.029640913009643555,ok
29240.177382128637,4,0.4314,0.05033,-0.0722,0.07567787170410156,ok
29240.177382128637,5,0.5277,0.05975,-0.0826,0.09097599983215332,ok
29240.177382128637,6,0.6679,0.07153,-0.098,0.08237814903259277,ok
29240.177382128637,7,0.7584,0.08179,-0.1026,0.04182720184326172,ok
29240.177382128637,8,0.872,0.09126,-0.105,0.04687166213989258,ok
29240.177382128637,9,-0.01234,0.0314,0.0012345,0.08826279640197754,fail
29240.177382128637,10,1.1676,0.07672,-0.0676,0.06262874603271484,ok
29240.177382128637,11,1.2363,0.08459,-0.0538,0.07813882827758789,ok
29240.177382128637,12,1.0643,0.12905,-0.0736,0.06392192840576172,ok
29240.177382128637,13,-0.01234,0.0314,0.0012345,0.07665300369262695,fail
29240.177382128637,14,0.9323,0.1951,-0.1175,0.0392451286315918,ok
29240.177382128637,15,0.9553,0.21104,-0.1222,0.03863716125488281,ok
29240.177382128637,16,1.0149,0.2385,-0.1244,0.029118061065673828,ok
29240.177382128637,17,1.049,0.25922,-0.1291,0.038429975509643555,ok
52680.51384453322,0,0.1926,0.02733,-0.0774,0.0222170352935791,ok
52680.51384453322,1,0.3494,0.03136,-0.0908,0.07210707664489746,ok
52680.51384453322,2,0.4832,0.03538,-0.099,0.023973941802978516,ok
52680.51384453322,3,0.6314,0.03901,-0.1074,0.015548229217529297,ok
52680.51384453322,4,0.7417,0.04207,-0.1086,0.019472122192382812,ok
52680.51384453322,5,0.859,0.04406,-0.1082,0.1233830451965332,ok
52680.51384453322,6,0.9954,0.04253,-0.1051,0.016052961349487305,ok
52680.51384453322,7,1.1145,0.03925,-0.097,0.020901918411254883,ok
52680.51384453322,8,1.2553,0.03116,-0.0859,0.10419988632202148,ok
52680.51384453322,9,1.2688,0.03593,-0.0691,0.04320406913757324,ok
52680.51384453322,10,1.3157,0.04738,-0.0603,0.024656057357788086,ok
52680.51384453322,11,1.3591,0.06423,-0.0539,0.05755114555358887,ok
52680.51384453322,12,1.2919,0.08104,-0.0438,0.02781987190246582,ok
52680.51384453322,13,1.1855,0.10708,-0.0477,0.025081872940063477,ok
52680.51384453322,14,1.0303,0.16216,-0.0836,0.03784298896789551,ok
52680.51384453322,15,0.9979,0.20374,-0.1092,0.030487060546875,ok
52680.51384453322,16,1.0024,0.21926,-0.1186,0.03710794448852539,ok
52680.51384453322,17,1.0286,0.23477,-0.1247,0.03869009017944336,ok
94911.75455796852,0,0.4282,0.02041,-0.1111,0.016012907028198242,ok
