Re,AoA,Cl,Cd,Cm,elapsed_s,status
4999.999999999999,0,-0.1462,0.07634,-0.0168,0.03769326210021973,ok
4999.999999999999,1,0.0806,0.07721,-0.0728,0.026535987854003906,ok
4999.999999999999,2,0.1746,0.0821,-0.0771,0.02793598175048828,ok
4999.999999999999,3,0.252,0.08753,-0.0789,0.03091597557067871,ok
4999.999999999999,4,0.3227,0.09364,-0.0803,0.03273296356201172,ok
4999.999999999999,5,0.3884,0.10044,-0.0817,0.03324007987976074,ok
4999.999999999999,6,0.4496,0.10793,-0.0832,0.025235891342163086,ok
4999.999999999999,7,0.5067,0.1161,-0.0851,0.023615121841430664,ok
4999.999999999999,8,0.56,0.12493,-0.0872,0.03277587890625,ok
4999.999999999999,9,0.61,0.13438,-0.0899,0.03354692459106445,ok
4999.999999999999,10,0.6571,0.14442,-0.0931,0.04122495651245117,ok
4999.999999999999,11,0.7016,0.15507,-0.0969,0.03462719917297363,ok
4999.999999999999,12,0.7439,0.16636,-0.1014,0.03422880172729492,ok
9008.241153272058,0,-0.1858,0.07501,-0.0216,0.02544999122619629,ok
9008.241153272058,1,-0.0602,0.06588,-0.0324,0.02986907958984375,ok
9008.241153272058,2,0.1985,0.07249,-0.0841,0.0858612060546875,ok
9008.241153272058,3,0.2747,0.07835,-0.0856,0.04110908508300781,ok
9008.241153272058,4,0.3438,0.0849,-0.087,0.0256350040435791,ok
9008.241153272058,5,0.4078,0.09219,-0.0884,0.03625798225402832,ok
9008.241153272058,6,0.4671,0.10021,-0.0899,0.07785606384277344,ok
9008.241153272058,7,0.5221,0.10897,-0.0918,0.027575969696044922,ok
9008.241153272058,8,0.5733,0.11846,-0.094,0.03731894493103027,ok
9008.241153272058,9,0.6209,0.12864,-0.0966,0.0367739200592041,ok
9008.241153272058,10,0.6657,0.13947,-0.0999,0.035063743591308594,ok
9008.241153272058,11,0.7081,0.15092,-0.1037,0.03487682342529297,ok
9008.241153272058,12,0.7487,0.16296,-0.1083,0.043736934661865234,ok
16229.681735100863,0,-0.0431,0.07047,-0.0727,0.025751113891601562,ok
16229.681735100863,1,0.1048,0.06761,-0.0862,0.032990217208862305,ok
16229.681735100863,2,0.2206,0.06626,-0.0909,0.024024009704589844,ok
16229.681735100863,3,0.2951,0.07248,-0.0922,0.043295860290527344,ok
16229.681735100863,4,0.3625,0.07941,-0.0935,0.0565948486328125,ok
