Re,AoA,Cl,Cd,Cm,elapsed_s,status
4999.999999999999,0,-0.0821,0.07769,-0.0143,0.12314200401306152,ok
4999.999999999999,1,-0.1012,0.07114,-0.0126,0.09264016151428223,ok
4999.999999999999,2,0.17,0.07518,-0.0734,0.02558422088623047,ok
4999.999999999999,3,0.263,0.08066,-0.0776,0.08018779754638672,ok
4999.999999999999,4,0.3338,0.08657,-0.0786,0.09353995323181152,ok
4999.999999999999,5,0.3972,0.09329,-0.0795,0.03662896156311035,ok
4999.999999999999,6,0.4553,0.10084,-0.0807,0.0769491195678711,ok
4999.999999999999,7,0.5088,0.10922,-0.0824,0.09305191040039062,ok
4999.999999999999,8,0.5584,0.11842,-0.0845,0.03421378135681152,ok
4999.999999999999,9,0.6044,0.12835,-0.0873,0.0881509780883789,ok
4999.999999999999,10,0.6476,0.13893,-0.0907,0.08228588104248047,ok
4999.999999999999,11,0.6885,0.15007,-0.0947,0.02614593505859375,ok
4999.999999999999,12,0.7274,0.1618,-0.0994,0.07350397109985352,ok
4999.999999999999,13,0.7649,0.17396,-0.1047,0.030184030532836914,ok
4999.999999999999,14,0.8013,0.18651,-0.1105,0.05954265594482422,ok
4999.999999999999,15,0.8369,0.19938,-0.1169,0.07590508460998535,ok
4999.999999999999,16,0.8718,0.21259,-0.1236,0.026201963424682617,ok
4999.999999999999,17,0.9061,0.22612,-0.1308,0.03253602981567383,ok
9008.241153272058,0,-0.273,0.07821,0.0052,0.017669200897216797,ok
9008.241153272058,1,-0.1306,0.07043,-0.018,0.01626420021057129,ok
9008.241153272058,2,0.0213,0.06477,-0.0367,0.01611018180847168,ok
9008.241153272058,3,0.2677,0.07058,-0.0804,0.013295888900756836,ok
9008.241153272058,4,0.3369,0.07683,-0.0812,0.014681816101074219,ok
9008.241153272058,5,0.3983,0.08391,-0.082,0.01392674446105957,ok
9008.241153272058,6,0.4546,0.0919,-0.0834,0.013981819152832031,ok
9008.241153272058,7,0.5065,0.10081,-0.0852,0.07359671592712402,ok
9008.241153272058,8,0.5546,0.11061,-0.0876,0.018939733505249023,ok
9008.241153272058,9,0.5994,0.12125,-0.0906,0.021234989166259766,ok
9008.241153272058,10,0.6415,0.13262,-0.0942,0.10133695602416992,ok
9008.241153272058,11,0.6815,0.1446,-0.0985,0.04044294357299805,ok
9008.241153272058,12,0.7201,0.15709,-0.1034,0.03484201431274414,ok
9008.241153272058,13,0.7574,0.17001,-0.1089,0.03844809532165527,ok
9008.241153272058,14,0.794,0.18327,-0.1148,0.027606964111328125,ok
9008.241153272058,15,0.8299,0.19688,-0.1212,0.026886940002441406,ok
9008.241153272058,16,0.8651,0.21083,-0.1279,0.019552230834960938,ok
9008.241153272058,17,0.9212,0.23,-0.1407,0.0947117805480957,ok
16229.681735100863,0,-0.1778,0.07426,-0.0316,0.03342103958129883,ok
16229.681735100863,1,-0.001,0.06806,-0.0614,0.021658897399902344,ok
16229.681735100863,2,0.1342,0.06589,-0.0745,0.10961413383483887,ok
16229.681735100863,3,0.2602,0.06364,-0.082,0.08278608322143555,ok
16229.681735100863,4,0.3343,0.0703,-0.083,0.03717613220214844,ok
16229.681735100863,5,0.3943,0.0777,-0.084,0.07906889915466309,ok
16229.681735100863,6,0.4494,0.08604,-0.0854,0.025725841522216797,ok
16229.681735100863,7,0.5004,0.09536,-0.0874,0.06417274475097656,ok
16229.681735100863,8,0.5479,0.10564,-0.0901,0.08430695533752441,ok
16229.681735100863,9,0.5924,0.11684,-0.0934,0.025133132934570312,ok
16229.681735100863,10,0.6344,0.12885,-0.0973,0.0730748176574707,ok
16229.681735100863,11,0.7067,0.14733,-0.1087,0.04151487350463867,ok
16229.681735100863,12,0.7647,0.16109,-0.1177,0.06232595443725586,ok
16229.681735100863,13,0.8202,0.17695,-0.1255,0.03725481033325195,ok
16229.681735100863,14,0.88,0.19668,-0.1336,0.038275957107543945,ok
16229.681735100863,15,0.9129,0.20428,-0.1381,0.04341411590576172,ok
16229.681735100863,16,0.9618,0.22233,-0.1449,0.039251089096069336,ok
16229.681735100863,17,1.005,0.2359,-0.1506,0.03650307655334473,ok
29240.177382128637,0,-0.298,0.07034,0.0447,0.03200483322143555,ok
29240.177382128637,1,0.0233,0.06313,-0.0719,0.09326910972595215,ok
29240.177382128637,2,0.139,0.06161,-0.0804,0.043929100036621094,ok
29240.177382128637,3,0.2422,0.06365,-0.0843,0.02527785301208496,ok
29240.177382128637,4,0.327,0.06605,-0.0843,0.014513969421386719,ok
29240.177382128637,5,0.3863,0.07374,-0.0853,0.08112692832946777,ok
29240.177382128637,6,0.4667,0.08484,-0.092,0.08387422561645508,ok
29240.177382128637,7,0.5755,0.10075,-0.1038,0.09159088134765625,ok
29240.177382128637,8,0.6449,0.11223,-0.109,0.04235506057739258,ok
29240.177382128637,9,0.6924,0.12276,-0.1117,0.024708986282348633,ok
29240.177382128637,10,-0.01234,0.0314,0.0012345,0.09607291221618652,fail
29240.177382128637,11,0.8177,0.15213,-0.1213,0.07080411911010742,ok
29240.177382128637,12,0.8405,0.16147,-0.1232,0.035849809646606445,ok
29240.177382128637,13,0.9073,0.17995,-0.1287,0.041761159896850586,ok
29240.177382128637,14,0.9255,0.18698,-0.131,0.0346066951751709,ok
29240.177382128637,15,0.9763,0.20352,-0.1358,0.03206777572631836,ok
29240.177382128637,16,1.0035,0.2146,-0.14,0.033631086349487305,ok
29240.177382128637,17,1.0343,0.22569,-0.1446,0.05161595344543457,ok
52680.51384453322,0,-0.2206,0.07107,-0.0273,0.20020794868469238,ok
52680.51384453322,1,0.0898,0.06234,-0.0853,0.11273694038391113,ok
52680.51384453322,2,0.2331,0.06097,-0.0953,0.028941631317138672,ok
52680.51384453322,3,0.3925,0.06646,-0.1061,0.05549311637878418,ok
52680.51384453322,4,0.5187,0.06859,-0.1088,0.08003997802734375,ok
52680.51384453322,5,0.6258,0.0728,-0.1097,0.02991485595703125,ok
52680.51384453322,6,0.7097,0.07848,-0.1094,0.02403402328491211,ok
52680.51384453322,7,0.8186,0.08336,-0.1101,0.07932591438293457,ok
52680.51384453322,8,0.8729,0.09018,-0.108,0.03473496437072754,ok
52680.51384453322,9,0.9209,0.0985,-0.1062,0.09984493255615234,ok
52680.51384453322,10,1.0469,0.09925,-0.1035,0.03211498260498047,ok
52680.51384453322,11,1.0114,0.11753,-0.1041,0.04660820960998535,ok
52680.51384453322,12,1.1278,0.11828,-0.0996,0.07743263244628906,ok
52680.51384453322,13,1.0634,0.14422,-0.1064,0.046102046966552734,ok
52680.51384453322,14,1.018,0.17147,-0.1183,0.043749332427978516,ok
52680.51384453322,15,1.1174,0.17658,-0.1133,0.024055004119873047,ok
52680.51384453322,16,-0.01234,0.0314,0.0012345,0.08582282066345215,fail
52680.51384453322,17,1.0718,0.21899,-0.1368,0.04381918907165527,ok
94911.75455796852,0,0.3487,0.04633,-0.1205,0.0316162109375,ok
94911.75455796852,1,0.4588,0.04401,-0.1196,0.07487010955810547,ok
94911.75455796852,2,0.5768,0.0412,-0.1203,0.01863694190979004,ok
94911.75455796852,3,0.6793,0.04299,-0.119,0.026643037796020508,ok
94911.75455796852,4,0.7814,0.04439,-0.1174,0.016957998275756836,ok
94911.75455796852,5,0.8858,0.04517,-0.1155,0.015736818313598633,ok
