Re,AoA,Cl,Cd,Cm,elapsed_s,status
4999.999999999999,0,0.0603,0.05389,-0.0446,0.08834290504455566,ok
4999.999999999999,1,0.1331,0.05629,-0.0438,0.023413896560668945,ok
4999.999999999999,2,0.2039,0.05943,-0.0432,0.08508491516113281,ok
4999.999999999999,3,0.2711,0.06337,-0.0431,0.08280014991760254,ok
4999.999999999999,4,0.335,0.06813,-0.0434,0.03402996063232422,ok
4999.999999999999,5,0.3951,0.07378,-0.0442,0.03218722343444824,ok
4999.999999999999,6,0.4511,0.08046,-0.0457,0.05639791488647461,ok
4999.999999999999,7,0.5024,0.08828,-0.0479,0.07526898384094238,ok
4999.999999999999,8,0.5479,0.09742,-0.051,0.08385276794433594,ok
4999.999999999999,9,0.5878,0.10799,-0.055,0.03623509407043457,ok
4999.999999999999,10,0.6223,0.12001,-0.0602,0.10499906539916992,ok
4999.999999999999,11,0.6526,0.13332,-0.0663,0.03812909126281738,ok
4999.999999999999,12,0.681,0.14765,-0.0733,0.08378219604492188,ok
9008.241153272058,0,0.0622,0.04264,-0.0463,0.08462691307067871,ok
9008.241153272058,1,0.1369,0.04534,-0.046,0.1045529842376709,ok
9008.241153272058,2,0.2089,0.04876,-0.0459,0.0378720760345459,ok
9008.241153272058,3,0.2771,0.05296,-0.0462,0.03513526916503906,ok
9008.241153272058,4,0.3418,0.058,-0.047,0.10796594619750977,ok
9008.241153272058,5,0.4024,0.06396,-0.0484,0.0795280933380127,ok
9008.241153272058,6,0.4582,0.071,-0.0503,0.0334010124206543,ok
9008.241153272058,7,0.5087,0.07927,-0.0529,0.0660099983215332,ok
9008.241153272058,8,-0.01234,0.314,0.0012345,0.07923269271850586,fail
9008.241153272058,9,0.5905,0.10054,-0.0612,0.1040651798248291,ok
9008.241153272058,10,0.623,0.11365,-0.0668,0.040585994720458984,ok
9008.241153272058,11,0.6519,0.12813,-0.0734,0.07561683654785156,ok
9008.241153272058,12,0.6799,0.14365,-0.0807,0.08257031440734863,ok
16229.681735100863,0,0.0638,0.03478,-0.0486,0.08370208740234375,ok
16229.681735100863,1,-0.01234,0.314,0.0012345,0.11672806739807129,fail
16229.681735100863,2,0.2128,0.04146,-0.049,0.03424572944641113,ok
16229.681735100863,3,0.2817,0.04592,-0.0498,0.06690192222595215,ok
16229.681735100863,4,0.3469,0.05122,-0.051,0.03281211853027344,ok
16229.681735100863,5,0.4076,0.05747,-0.0526,0.0412752628326416,ok
16229.681735100863,6,0.463,0.06488,-0.0549,0.1402277946472168,ok
16229.681735100863,7,-0.01234,0.314,0.0012345,0.05945873260498047,fail
16229.681735100863,8,0.5551,0.08407,-0.062,0.03755807876586914,ok
16229.681735100863,9,0.5914,0.09638,-0.0671,0.06112527847290039,ok
16229.681735100863,10,0.6229,0.11043,-0.0732,0.07574295997619629,ok
16229.681735100863,11,0.652,0.12592,-0.08,0.06600594520568848,ok
16229.681735100863,12,0.76,0.15733,-0.1041,0.08258509635925293,ok
29240.177382128637,0,0.0648,0.02946,-0.0513,0.0832667350769043,ok
29240.177382128637,1,-0.01234,0.314,0.0012345,0.1171560287475586,fail
29240.177382128637,2,0.2155,0.03667,-0.0523,0.09238386154174805,ok
29240.177382128637,3,0.2847,0.04136,-0.0534,0.08600807189941406,ok
29240.177382128637,4,0.3498,0.04688,-0.0548,0.027592897415161133,ok
29240.177382128637,5,0.4099,0.0534,-0.0566,0.08087515830993652,ok
29240.177382128637,6,-0.01234,0.314,0.0012345,0.07066178321838379,fail
29240.177382128637,7,-0.01234,0.314,0.0012345,0.05566596984863281,fail
29240.177382128637,8,-0.01234,0.314,0.0012345,0.05459904670715332,fail
29240.177382128637,9,0.8443,0.10035,-0.0881,0.0740652084350586,ok
29240.177382128637,10,-0.01234,0.314,0.0012345,0.05676102638244629,fail
29240.177382128637,11,1.1642,0.08061,-0.0334,0.07880687713623047,ok
29240.177382128637,12,1.0448,0.1133,-0.0473,0.034358978271484375,ok
52680.51384453322,0,-0.01234,0.314,0.0012345,0.09869098663330078,fail
52680.51384453322,1,0.3682,0.03002,-0.0869,0.0765841007232666,ok
52680.51384453322,2,0.4544,0.03386,-0.0872,0.026523828506469727,ok
52680.51384453322,3,0.5419,0.03818,-0.0876,0.06792211532592773,ok
52680.51384453322,4,0.6261,0.04311,-0.0877,0.02973794937133789,ok
52680.51384453322,5,0.7109,0.04817,-0.0872,0.06108999252319336,ok
52680.51384453322,6,0.8069,0.05247,-0.0861,0.07489013671875,ok
52680.51384453322,7,0.9729,0.05041,-0.0829,0.029941082000732422,ok
52680.51384453322,8,1.1462,0.03579,-0.0683,0.0778360366821289,ok
52680.51384453322,9,1.1406,0.03649,-0.0477,0.0766150951385498,ok
52680.51384453322,10,1.2046,0.0533,-0.0393,0.03008413314819336,ok
52680.51384453322,11,1.2092,0.0698,-0.0326,0.06531572341918945,ok
52680.51384453322,12,1.1392,0.08928,-0.0324,0.05661273002624512,ok
94911.75455796852,0,0.4081,0.01682,-0.0941,0.03028416633605957,ok
94911.75455796852,1,0.5106,0.01825,-0.0927,0.08089423179626465,ok
94911.75455796852,2,0.6149,0.01971,-0.0914,0.03220105171203613,ok
94911.75455796852,3,0.709,0.02187,-0.0901,0.027006864547729492,ok
94911.75455796852,4,0.8065,0.02381,-0.088,0.07821321487426758,ok
94911.75455796852,5,0.9121,0.02453,-0.0849,0.029212236404418945,ok
94911.75455796852,6,1.017,0.0221,-0.079,0.07062387466430664,ok
94911.75455796852,7,1.1209,0.02114,-0.0745,0.031352996826171875,ok
94911.75455796852,8,1.1634,0.0232,-0.0623,0.07950305938720703,ok
94911.75455796852,9,1.1433,0.03466,-0.0466,0.03103160858154297,ok
94911.75455796852,10,1.2337,0.04672,-0.0424,0.028516292572021484,ok
94911.75455796852,11,1.2324,0.06236,-0.0339,0.09476399421691895,ok
94911.75455796852,12,1.1661,0.08074,-0.032,0.04499697685241699,ok
170997.59466766944,0,0.4041,0.01105,-0.0846,0.02907395362854004,ok
170997.59466766944,1,0.5111,0.01159,-0.0836,0.07484984397888184,ok
170997.59466766944,2,0.6181,0.01263,-0.0834,0.03388500213623047,ok
170997.59466766944,3,0.7253,0.01335,-0.0824,0.07685208320617676,ok
170997.59466766944,4,0.8305,0.01406,-0.0815,0.0319211483001709,ok
170997.59466766944,5,0.9335,0.01298,-0.0776,0.03328514099121094,ok
170997.59466766944,6,1.0318,0.01324,-0.0748,0.027230024337768555,ok
170997.59466766944,7,1.1259,0.01471,-0.0722,0.0946037769317627,ok
170997.59466766944,8,1.1389,0.0239,-0.0597,0.032201290130615234,ok
170997.59466766944,9,1.1701,0.03091,-0.0493,0.02882099151611328,ok
170997.59466766944,10,1.2457,0.04365,-0.0447,0.02903914451599121,ok
170997.59466766944,11,-0.01234,0.314,0.0012345,0.06461882591247559,fail
170997.59466766944,12,1.17,0.07895,-0.0327,0.04777407646179199,ok
308077.513879167,0,0.3985,0.00792,-0.081,0.0847780704498291,ok
308077.513879167,1,0.5078,0.00849,-0.0806,0.07188892364501953,ok
308077.513879167,2,0.6179,0.00885,-0.0805,0.0719764232635498,ok
