Re,AoA,Cl,Cd,Cm,elapsed_s,status
29240.177382128637,2,0.3005,0.03839,-0.0687,0.04945707321166992,ok
29240.177382128637,3,0.3693,0.04379,-0.0703,0.017403841018676758,ok
29240.177382128637,4,0.4314,0.05033,-0.0722,0.08343291282653809,ok
29240.177382128637,5,0.5277,0.05975,-0.0826,0.08308005332946777,ok
29240.177382128637,6,0.6679,0.07153,-0.098,0.08172988891601562,ok
29240.177382128637,7,0.7584,0.08179,-0.1026,0.030022144317626953,ok
29240.177382128637,8,0.872,0.09126,-0.105,0.04838705062866211,ok
29240.177382128637,9,-0.01234,0.0314,0.0012345,0.08821916580200195,fail
29240.177382128637,10,1.1676,0.07672,-0.0676,0.042654991149902344,ok
29240.177382128637,11,1.2363,0.08459,-0.0538,0.09738421440124512,ok
29240.177382128637,12,1.0643,0.12905,-0.0736,0.06293201446533203,ok
52680.51384453322,0,0.1926,0.02733,-0.0774,0.015153884887695312,ok
52680.51384453322,1,0.3494,0.03136,-0.0908,0.07872390747070312,ok
52680.51384453322,2,0.4832,0.03538,-0.099,0.016007184982299805,ok
52680.51384453322,3,0.6314,0.03901,-0.1074,0.03135395050048828,ok
52680.51384453322,4,0.7417,0.04207,-0.1086,0.11936569213867188,ok
52680.51384453322,5,0.859,0.04406,-0.1082,0.06668686866760254,ok
52680.51384453322,6,0.9954,0.04253,-0.1051,0.049638986587524414,ok
52680.51384453322,7,1.1145,0.03925,-0.097,0.0905311107635498,ok
52680.51384453322,8,1.2553,0.03116,-0.0859,0.04117012023925781,ok
52680.51384453322,9,1.2688,0.03593,-0.0691,0.06696081161499023,ok
52680.51384453322,10,1.3157,0.04738,-0.0603,0.024326801300048828,ok
52680.51384453322,11,1.3591,0.06423,-0.0539,0.09192800521850586,ok
52680.51384453322,12,1.2919,0.08104,-0.0438,0.028174877166748047,ok
94911.75455796852,0,0.4282,0.02041,-0.1111,0.07871007919311523,ok
94911.75455796852,1,0.5584,0.02108,-0.1139,0.023290157318115234,ok
94911.75455796852,2,0.6734,0.02165,-0.1132,0.11129283905029297,ok
94911.75455796852,3,0.7799,0.02204,-0.1108,0.09187722206115723,ok
94911.75455796852,4,0.8964,0.0212,-0.108,0.03483700752258301,ok
94911.75455796852,5,1.0027,0.02075,-0.1041,0.029165029525756836,ok
94911.75455796852,6,1.1122,0.01985,-0.0999,0.018667221069335938,ok
94911.75455796852,7,1.2046,0.02001,-0.0939,0.07116580009460449,ok
94911.75455796852,8,1.2687,0.0222,-0.0852,0.09134793281555176,ok
94911.75455796852,9,1.2731,0.02989,-0.0712,0.08331704139709473,ok
94911.75455796852,10,1.3137,0.03938,-0.0616,0.024347782135009766,ok
94911.75455796852,11,1.3656,0.05123,-0.0558,0.02196526527404785,ok
94911.75455796852,12,1.3524,0.06457,-0.046,0.032096147537231445,ok
170997.59466766944,0,0.4825,0.01218,-0.1097,0.0866701602935791,ok
170997.59466766944,1,0.5917,0.0123,-0.1082,0.018074989318847656,ok
