Re,AoA,Cl,Cd,Cm,elapsed_s,status
4999.999999999999,0,-0.0821,0.07769,-0.0143,0.0429689884185791,ok
4999.999999999999,1,-0.1012,0.07114,-0.0126,0.03709292411804199,ok
4999.999999999999,2,0.17,0.07518,-0.0734,0.04321908950805664,ok
4999.999999999999,3,0.263,0.08066,-0.0776,0.041562795639038086,ok
4999.999999999999,4,0.3338,0.08657,-0.0786,0.08555316925048828,ok
4999.999999999999,5,0.3972,0.09329,-0.0795,0.03187084197998047,ok
4999.999999999999,6,0.4553,0.10084,-0.0807,0.01832103729248047,ok
4999.999999999999,7,0.5088,0.10922,-0.0824,0.018276214599609375,ok
4999.999999999999,8,0.5584,0.11842,-0.0845,0.015492916107177734,ok
4999.999999999999,9,0.6044,0.12835,-0.0873,0.0167999267578125,ok
4999.999999999999,10,0.6476,0.13893,-0.0907,0.01612997055053711,ok
4999.999999999999,11,0.6885,0.15007,-0.0947,0.07312417030334473,ok
4999.999999999999,12,0.7274,0.1618,-0.0994,0.08301496505737305,ok
9008.241153272058,0,-0.273,0.07821,0.0052,0.03204798698425293,ok
9008.241153272058,1,-0.1306,0.07043,-0.018,0.02189803123474121,ok
9008.241153272058,2,0.0213,0.06477,-0.0367,0.10351395606994629,ok
9008.241153272058,3,0.2677,0.07058,-0.0804,0.022676944732666016,ok
9008.241153272058,4,0.3369,0.07683,-0.0812,0.10191798210144043,ok
9008.241153272058,5,0.3983,0.08391,-0.082,0.10126018524169922,ok
9008.241153272058,6,0.4546,0.0919,-0.0834,0.02790093421936035,ok
9008.241153272058,7,0.5065,0.10081,-0.0852,0.05234718322753906,ok
9008.241153272058,8,0.5546,0.11061,-0.0876,0.08237576484680176,ok
9008.241153272058,9,0.5994,0.12125,-0.0906,0.024566173553466797,ok
9008.241153272058,10,0.6415,0.13262,-0.0942,0.11653590202331543,ok
9008.241153272058,11,0.6815,0.1446,-0.0985,0.04045605659484863,ok
9008.241153272058,12,0.7201,0.15709,-0.1034,0.027046918869018555,ok
16229.681735100863,0,-0.1778,0.07426,-0.0316,0.06468081474304199,ok
16229.681735100863,1,-0.001,0.06806,-0.0614,0.1002969741821289,ok
16229.681735100863,2,0.1342,0.06589,-0.0745,0.024084091186523438,ok
16229.681735100863,3,0.2602,0.06364,-0.082,0.09069061279296875,ok
